1234567890128;Pot;45
2345678901234;Pan;30
3456789012341;Blender;55
4567890123456;Toaster;25
5678901234562;Kettle;20
6789012345673;Microwave;100
7890123456784;Oven;150
8901234567895;Refrigerator;250
9012345678906;Freezer;300
0123456789017;Dishwasher;400
1123456789018;Food processor;150
2234567890129;Meat grinder;70
3345678901230;Juicer;60
4456789012341;Steamer;80
5567890123452;Bread maker;90
6678901234563;Coffee maker;120
7789012345674;Waffle iron;50
8890123456785;Toaster oven;40
9901234567896;Multicooker;110
0012345678907;Deep fryer;75
